07/01/2024 -  Winter Championship 2023.24 Round 4,Practice - Round 1,Race 1 - 4 Wheel Drive,Paul Hayes,22.74
07/01/2024 -  Winter Championship 2023.24 Round 4,Practice - Round 1,Race 1 - 4 Wheel Drive,Paul Hayes,21.69
07/01/2024 -  Winter Championship 2023.24 Round 4,Practice - Round 1,Race 1 - 4 Wheel Drive,Paul Hayes,24.40
07/01/2024 -  Winter Championship 2023.24 Round 4,Practice - Round 1,Race 1 - 4 Wheel Drive,Bryn Tindall,22.19
07/01/2024 -  Winter Championship 2023.24 Round 4,Practice - Round 1,Race 1 - 4 Wheel Drive,Bryn Tindall,21.42
07/01/2024 -  Winter Championship 2023.24 Round 4,Practice - Round 1,Race 1 - 4 Wheel Drive,Bryn Tindall,22.36
07/01/2024 -  Winter Championship 2023.24 Round 4,Practice - Round 1,Race 1 - 4 Wheel Drive,Bryn Tindall,21.74
07/01/2024 -  Winter Championship 2023.24 Round 4,Practice - Round 1,Race 1 - 4 Wheel Drive,Bryn Tindall,26.28
07/01/2024 -  Winter Championship 2023.24 Round 4,Practice - Round 1,Race 1 - 4 Wheel Drive,Bryn Tindall,22.05
07/01/2024 -  Winter Championship 2023.24 Round 4,Practice - Round 1,Race 1 - 4 Wheel Drive,Bryn Tindall,23.12
07/01/2024 -  Winter Championship 2023.24 Round 4,Practice - Round 1,Race 1 - 4 Wheel Drive,Bryn Tindall,22.85
07/01/2024 -  Winter Championship 2023.24 Round 4,Practice - Round 1,Race 1 - 4 Wheel Drive,Bryn Tindall,21.82
07/01/2024 -  Winter Championship 2023.24 Round 4,Practice - Round 1,Race 1 - 4 Wheel Drive,Bryn Tindall,21.89
07/01/2024 -  Winter Championship 2023.24 Round 4,Practice - Round 1,Race 1 - 4 Wheel Drive,Bryn Tindall,21.90
07/01/2024 -  Winter Championship 2023.24 Round 4,Practice - Round 1,Race 1 - 4 Wheel Drive,Aidan Burke,27.39
07/01/2024 -  Winter Championship 2023.24 Round 4,Practice - Round 1,Race 1 - 4 Wheel Drive,Aidan Burke,25.78
07/01/2024 -  Winter Championship 2023.24 Round 4,Practice - Round 1,Race 1 - 4 Wheel Drive,Aidan Burke,25.50
07/01/2024 -  Winter Championship 2023.24 Round 4,Practice - Round 1,Race 1 - 4 Wheel Drive,Aidan Burke,23.03
07/01/2024 -  Winter Championship 2023.24 Round 4,Practice - Round 1,Race 1 - 4 Wheel Drive,Aidan Burke,24.17
07/01/2024 -  Winter Championship 2023.24 Round 4,Practice - Round 1,Race 1 - 4 Wheel Drive,Aidan Burke,23.44
07/01/2024 -  Winter Championship 2023.24 Round 4,Practice - Round 1,Race 1 - 4 Wheel Drive,Aidan Burke,22.68
07/01/2024 -  Winter Championship 2023.24 Round 4,Practice - Round 1,Race 1 - 4 Wheel Drive,Aidan Burke,22.93
07/01/2024 -  Winter Championship 2023.24 Round 4,Practice - Round 1,Race 1 - 4 Wheel Drive,Aidan Burke,22.74
07/01/2024 -  Winter Championship 2023.24 Round 4,Practice - Round 1,Race 1 - 4 Wheel Drive,James Gibbs,60.54
07/01/2024 -  Winter Championship 2023.24 Round 4,Practice - Round 1,Race 1 - 4 Wheel Drive,James Gibbs,21.58
07/01/2024 -  Winter Championship 2023.24 Round 4,Practice - Round 1,Race 1 - 4 Wheel Drive,James Gibbs,24.33
07/01/2024 -  Winter Championship 2023.24 Round 4,Practice - Round 1,Race 1 - 4 Wheel Drive,James Gibbs,26.91
07/01/2024 -  Winter Championship 2023.24 Round 4,Practice - Round 1,Race 1 - 4 Wheel Drive,James Gibbs,24.68
07/01/2024 -  Winter Championship 2023.24 Round 4,Practice - Round 1,Race 1 - 4 Wheel Drive,James Gibbs,21.93
07/01/2024 -  Winter Championship 2023.24 Round 4,Practice - Round 1,Race 1 - 4 Wheel Drive,James Gibbs,21.78
07/01/2024 -  Winter Championship 2023.24 Round 4,Practice - Round 1,Race 1 - 4 Wheel Drive,James Gibbs,21.04
07/01/2024 -  Winter Championship 2023.24 Round 4,Practice - Round 1,Race 1 - 4 Wheel Drive,James Gibbs,30.62
07/01/2024 -  Winter Championship 2023.24 Round 4,Practice - Round 1,Race 1 - 4 Wheel Drive,Keith Shorrock,68.97
07/01/2024 -  Winter Championship 2023.24 Round 4,Practice - Round 1,Race 1 - 4 Wheel Drive,Keith Shorrock,27.67
07/01/2024 -  Winter Championship 2023.24 Round 4,Practice - Round 1,Race 1 - 4 Wheel Drive,Keith Shorrock,25.43
07/01/2024 -  Winter Championship 2023.24 Round 4,Practice - Round 1,Race 1 - 4 Wheel Drive,Keith Shorrock,25.62
07/01/2024 -  Winter Championship 2023.24 Round 4,Practice - Round 1,Race 1 - 4 Wheel Drive,Keith Shorrock,25.55
07/01/2024 -  Winter Championship 2023.24 Round 4,Practice - Round 1,Race 1 - 4 Wheel Drive,Keith Shorrock,25.11
07/01/2024 -  Winter Championship 2023.24 Round 4,Practice - Round 1,Race 1 - 4 Wheel Drive,Keith Shorrock,27.68
07/01/2024 -  Winter Championship 2023.24 Round 4,Practice - Round 1,Race 1 - 4 Wheel Drive,Keith Shorrock,29.47
